latitude,longitude,price,minimum_nights,room_type,neighbourhood
40.68506,-73.93867,36,2,1,13
40.71587,-73.96351,320,2,0,214
40.66232,-73.9939,150,3,0,190
40.6839,-73.94446,75,4,0,13
40.67382,-73.96782,75,2,1,158
40.69408,-73.92307,160,3,0,28
40.68697,-73.95141,95,3,1,13
40.68684,-73.98167,80,2,1,19
40.8104,-73.95977,170,3,0,130
40.62877,-74.00918,75,1,0,58
40.65038,-74.00551,99,3,0,190
40.71192,-73.99539,77,1,1,198
40.69206,-73.95997,55,1,1,13
40.70053,-73.92589,75,2,1,28
40.7952,-73.9624,99,1,1,202
40.75746,-73.98795,420,5,0,191
40.85065,-73.93188,45,2,1,206
40.75216,-73.97172,300,1,0,127
40.7338,-73.99498,200,5,0,92
40.68454,-73.96382,40,1,1,41
40.71243,-73.95873,91,1,1,214
40.7137,-73.96674,95,2,1,214
40.68267,-73.90576,148,3,0,28
40.6747,-73.98245,125,3,1,151
40.77688,-73.96177,109,1,1,201
40.74749,-73.9869,182,3,0,127
40.79614,-73.93787,130,2,0,61
40.717,-73.99717,100,3,1,35
40.67788,-73.94525,100,2,1,51
40.70701,-74.0151,114,1,0,73
40.68088,-73.91181,59,1,1,13
40.70256,-73.92094,58,1,1,28
40.74358,-73.98096,125,3,1,112
40.72671,-73.98437,190,4,0,64
40.68591,-73.9863,275,2,0,19
40.79423,-73.94741,185,1,0,61
40.74686,-73.97514,400,1,0,137
40.72138,-73.94709,100,3,0,91
40.71281,-73.9657,200,2,0,214
40.85368,-73.90172,75,1,1,78
40.72403,-74.00858,200,2,0,197
40.66918,-73.99187,130,7,0,85
40.79499,-73.97669,75,5,1,202
40.70685,-73.94796,150,10,0,214
40.81451,-73.94478,99,2,1,94
40.77704,-73.94442,166,2,0,201
40.86585,-73.92693,80,4,0,103
40.76573,-73.98682,225,5,0,95
40.70325,-73.91349,70,1,1,28
40.68882,-73.95969,85,5,0,13
40.69905,-73.93831,65,2,1,28
40.73939,-73.99612,429,10,0,34
40.67592,-73.98107,250,3,0,151
40.76565,-73.99392,150,1,1,95
40.68212,-73.95419,59,5,1,13
40.76814,-73.98404,220,5,0,202
40.68216,-73.98199,115,1,0,85
40.71485,-73.99157,65,1,1,35
40.76637,-73.95345,118,1,0,201
40.8,-73.96404,100,2,1,202
40.72057,-73.99185,80,5,1,119
40.84182,-73.93898,130,3,0,206
40.71511,-73.96236,500,3,0,214
40.69348,-73.95927,75,3,1,13
40.69449,-73.99727,99,2,1,25
40.66519,-73.97793,250,9,0,151
40.76651,-73.95155,145,2,0,201
40.78014,-73.97974,200,5,0,202
40.72005,-73.95704,120,2,1,214
40.72215,-73.94203,137,4,0,91
40.72229,-73.9873,70,2,1,119
40.76555,-73.98029,150,5,0,127
40.74707,-74.00332,500,7,0,34
40.69917,-73.9123,65,2,1,28
40.68697,-73.96063,59,3,1,41
40.68125,-73.92326,60,1,1,13
40.78115,-73.90883,103,1,0,54
40.79229,-73.94962,80,2,1,61
40.77697,-73.95372,75,1,0,201
40.80474,-73.95527,150,2,0,94
40.6466,-73.99751,45,1,1,20
40.76625,-73.9539,98,2,1,201
40.63135,-73.9651,150,5,1,74
40.77842,-73.95026,135,3,0,201
40.70742,-73.93754,59,5,1,214
40.86444,-73.92899,45,5,1,103
40.76609,-73.99305,150,3,1,95
40.73523,-73.99465,180,3,0,92
40.72598,-73.98934,86,3,1,64
40.71889,-73.95786,450,5,0,214
40.72402,-73.98771,179,5,0,64
40.75722,-73.98162,85,1,2,127
40.75559,-73.9208,95,2,1,117
40.82611,-73.94407,155,2,0,94
40.79957,-73.96902,150,2,1,202
40.70898,-73.95086,90,3,1,214
40.73,-74.00122,196,2,0,92
40.75547,-73.92017,40,1,1,117
40.76193,-73.9501,120,7,1,169
40.77388,-73.94913,83,1,1,201
40.60918,-73.99799,40,2,0,17
40.78747,-73.95276,150,3,1,61
40.72419,-74.00451,310,3,0,178
40.74586,-73.94553,79,2,1,117
40.74296,-73.97771,200,1,0,112
40.63622,-73.97406,70,1,0,108
40.72593,-74.00185,150,1,0,178
40.71436,-73.95445,100,1,0,214
40.70914,-73.961,130,3,1,214
40.71272,-73.96378,68,1,1,214
40.75223,-74.00816,300,2,0,34
40.75468,-73.96563,180,4,0,127
40.70933,-73.95577,56,3,1,214
40.7113,-73.94249,99,1,0,214
40.84442,-73.94039,115,6,1,206
40.76829,-73.98298,275,2,1,202
40.69472,-73.99856,195,5,0,25
40.75562,-73.99736,525,5,0,95
40.82967,-73.94851,65,4,1,94
40.68454,-73.96425,88,3,0,41
40.74069,-73.95604,200,5,0,117
40.63431,-74.02552,100,3,0,7
40.83193,-73.92223,40,1,1,47
40.67392,-73.94662,250,5,0,51
40.71733,-73.95028,71,2,1,214
40.68255,-73.96124,219,4,0,41
40.81201,-73.90823,100,2,0,134
40.71363,-73.96398,125,6,0,214
40.81141,-73.94051,135,3,1,94
40.70079,-73.92095,38,7,1,28
40.75535,-73.92609,100,2,0,4
40.61006,-73.99902,37,4,1,17
40.75091,-73.99414,200,1,2,34
40.68569,-73.94465,50,2,1,13
40.78345,-73.97858,150,2,0,202
40.83515,-73.94178,128,3,0,206
40.82215,-73.95601,180,5,0,94
40.72211,-73.90905,144,2,0,123
40.70669,-73.93578,100,2,1,214
40.67415,-73.94007,175,2,0,51
40.64743,-73.94356,43,3,1,60
40.85539,-73.88769,69,1,1,16
40.65602,-73.95891,130,3,0,159
40.77698,-73.93389,150,7,0,4
40.69093,-73.97936,200,2,0,80
40.69499,-73.9469,39,1,1,13
40.66248,-73.95407,90,2,0,159
40.75169,-73.97116,100,1,1,127
40.7125,-73.9529,180,3,0,214
40.70783,-73.92143,150,3,1,28
40.75316,-73.97241,450,6,0,127
40.82829,-73.94691,80,5,2,94
40.63491,-73.91163,92,2,0,30
40.64469,-74.01035,140,2,0,190
40.61814,-73.97078,49,4,0,128
40.70426,-73.91308,150,5,0,28
40.60809,-74.0727,165,2,0,176
40.75818,-73.92679,35,2,1,4
40.7887,-73.94736,125,3,0,61
40.82036,-73.95415,100,2,0,94
40.80115,-73.96524,70,1,1,202
40.71554,-73.96225,129,2,0,214
40.72152,-73.98625,117,1,2,119
40.7202,-73.98284,120,1,1,119
40.7512,-73.94019,60,6,1,117
40.76132,-73.99443,180,3,1,95
40.72569,-74.00331,149,1,1,178
40.73108,-73.95416,85,4,0,91
40.71862,-73.99677,115,5,1,115
40.68512,-73.95796,170,6,0,13
40.70033,-73.93964,45,6,1,28
40.81643,-73.94042,65,3,1,94
40.68398,-73.93464,139,2,0,13
40.81829,-73.94686,175,2,0,94
40.73177,-73.98598,180,5,0,64
40.74856,-73.88906,139,1,0,104
40.74577,-74.00606,150,3,0,34
40.67128,-73.97863,100,5,0,151
40.69266,-73.96046,65,5,1,13
40.68219,-73.97259,220,3,0,158
40.73823,-74.00233,165,7,0,209
40.63028,-73.90121,110,2,0,30
40.702,-73.89768,110,3,0,166
40.65747,-73.95798,250,5,0,159
40.6921,-73.9391,100,3,1,13
40.73432,-74.00306,220,1,1,209
40.71055,-74.00623,395,3,0,73
40.74239,-73.9018,99,3,0,220
40.72036,-73.99633,550,4,0,145
40.77472,-73.92825,75,3,1,4
40.76522,-73.98779,250,4,0,95
40.77056,-73.92159,99,2,0,4
40.71653,-73.95554,30,3,1,214
40.7193,-73.98405,225,1,0,119
40.76372,-73.98081,700,7,0,127
40.74314,-73.9957,200,2,0,34
40.77078,-73.98344,179,1,0,202
40.66257,-73.92355,125,2,0,60
40.72612,-73.98946,110,3,1,64
40.71339,-73.93896,160,2,0,214
40.71073,-73.96207,190,1,1,214
40.68726,-73.97616,129,1,0,80
40.75729,-73.96807,75,1,2,127
40.69045,-73.91507,40,2,1,28
40.75606,-73.97004,250,2,0,127
40.62903,-74.08206,49,1,1,187
40.74564,-74.0006,200,1,0,34
40.67531,-73.94967,50,4,1,51
40.62434,-73.98821,80,3,1,20
40.71994,-73.9599,90,1,1,214
40.72818,-73.98925,95,2,1,64
40.84492,-73.93673,60,2,1,206
40.7324,-73.99708,300,5,0,92
40.82272,-73.94942,229,5,0,94
40.82888,-73.9045,70,2,1,133
40.67592,-73.94792,100,2,0,51
40.75041,-73.93761,175,7,0,117
40.76206,-73.95705,90,8,1,201
40.7291,-73.99246,191,2,0,144
40.71943,-73.99712,150,5,1,115
40.74627,-73.97595,100,1,0,137
40.75966,-73.99277,350,1,0,95
40.75651,-73.96696,450,2,0,127
40.72587,-73.94122,70,5,0,91
40.76747,-73.9862,125,3,1,95
40.71319,-73.95807,171,1,0,214
40.68345,-73.95078,60,4,0,13
40.74437,-73.98848,250,3,0,127
40.7241,-74.0042,250,2,0,178
40.83419,-73.94638,135,3,0,206
40.68984,-73.91507,37,1,1,28
40.68062,-73.97042,80,2,1,158
40.72078,-73.95892,115,2,1,214
40.70632,-73.94978,102,3,0,214
40.70612,-73.9264,90,3,1,214
40.81232,-73.90299,100,3,1,118
40.72347,-73.94199,70,1,1,91
40.74129,-73.98374,265,3,0,75
40.80604,-73.94233,85,3,1,61
40.72674,-73.9782,95,7,1,64
40.73807,-73.98091,119,4,0,112
40.83053,-73.95048,94,3,1,94
40.61429,-73.94779,88,2,0,128
40.77013,-73.92092,60,2,1,4
40.80024,-73.91422,49,3,1,155
40.82306,-73.90821,75,1,0,118
40.74512,-73.98212,395,1,0,127
40.75607,-73.90146,80,1,1,220
40.82627,-73.90803,65,2,1,133
40.77406,-73.94788,110,2,0,201
40.74398,-73.99624,499,6,0,34
40.76924,-73.95323,100,3,1,201
40.77988,-73.95482,399,4,0,201
40.79613,-73.96658,60,2,1,202
40.70821,-73.94274,60,2,1,214
40.68658,-73.91418,140,3,0,28
40.70803,-73.96142,95,1,1,214
40.79785,-73.97202,165,4,0,202
40.81039,-73.92478,73,1,1,134
40.63489,-74.08592,105,3,0,194
40.63129,-73.96611,436,3,0,74
40.69028,-73.95195,45,1,1,13
40.79641,-73.96253,589,5,0,202
40.81567,-73.94841,55,3,1,94
40.84191,-73.9356,60,3,1,206
40.71023,-73.96665,89,3,1,214
40.85295,-73.93595,250,2,0,206
40.6834,-73.92035,69,2,1,13
40.70576,-73.91129,55,3,1,166
40.77865,-73.94858,175,2,0,201
40.80536,-73.95469,140,1,1,94
40.79502,-73.96703,600,3,0,202
40.68513,-73.90987,50,2,1,28
40.67992,-73.95695,65,2,1,13
40.72373,-73.90881,196,2,0,123
40.76599,-73.98388,152,1,0,95
40.76449,-73.98445,400,2,0,127
40.67299,-73.95521,49,7,1,51
40.66322,-73.95142,50,2,1,159
40.63503,-73.95127,150,3,1,74
40.66174,-73.95496,110,2,1,159
40.67796,-73.96458,115,2,0,158
40.8061,-73.96641,90,1,1,130
40.69167,-73.92169,48,4,1,28
40.62941,-73.9425,300,1,0,76
40.84369,-73.94064,50,1,1,206
40.71577,-73.94604,90,3,1,214
40.76958,-73.92223,72,3,0,4
40.72325,-73.98776,120,3,0,64
40.73247,-74.00335,225,2,0,209
40.68469,-73.90761,69,3,0,28
40.64896,-73.94317,80,3,0,60
40.60663,-73.9821,29,2,1,89
40.68558,-73.9815,110,3,1,19
40.82316,-73.94129,65,3,1,94
40.68309,-73.95249,88,7,1,13
40.78726,-73.96867,170,3,0,202
40.721,-73.99218,350,2,0,119
40.73248,-74.00053,225,1,0,209
40.6075,-74.07979,65,1,1,170
40.6782,-73.945,55,2,1,51
40.6347,-74.02268,54,1,1,7
40.70787,-74.0078,158,7,0,73
40.73138,-73.99976,125,10,1,92
40.78277,-73.95164,199,2,0,201
40.80505,-73.93964,95,1,1,61
40.75245,-73.97342,295,1,1,127
40.76761,-73.98497,250,1,0,95
40.79185,-73.94139,50,1,1,61
40.72471,-73.98891,106,3,0,64
40.75912,-73.92903,130,3,0,117
40.73348,-73.95689,154,1,0,91
40.71538,-73.99669,142,4,0,35
40.66933,-73.9252,40,7,1,51
40.81065,-73.96312,85,2,1,130
40.71449,-73.9569,196,1,0,214
40.72264,-73.9837,160,4,0,64
40.71944,-73.98441,275,5,0,119
40.77679,-73.91366,38,1,1,54
40.70994,-73.90201,65,1,0,166
40.68235,-73.90381,48,2,1,28
40.66915,-73.95321,80,2,1,51
40.62961,-73.9572,130,1,0,74
40.79918,-73.96607,85,1,1,202
40.6604,-73.98316,150,10,0,216
40.66542,-73.96062,110,1,0,51
40.74128,-73.99986,139,1,0,34
40.80637,-73.95433,140,2,1,94
40.70629,-74.01535,200,1,0,73
40.69338,-73.93125,65,4,1,13
40.65918,-73.89226,55,2,1,63
40.73062,-73.98524,133,3,0,64
40.68895,-73.96259,130,2,0,41
40.66958,-73.98623,700,1,0,151
40.67736,-73.90995,55,1,1,13
40.68579,-73.9358,249,3,0,13
40.72915,-73.98565,199,2,0,64
40.75439,-73.89532,105,1,0,104
40.71652,-73.94309,150,3,0,214
40.71843,-73.99817,124,2,0,115
40.7478,-73.88005,100,1,1,68
40.79908,-73.96465,50,7,1,202
40.74624,-74.00371,225,1,0,34
40.70424,-74.01564,299,1,2,73
40.79252,-73.94055,49,3,1,61
40.71807,-74.00215,100,6,0,35
40.7453,-74.00002,180,3,0,34
40.69999,-73.95275,100,4,0,214
40.65226,-73.95732,70,2,1,74
40.71489,-73.99438,129,7,0,35
40.7268,-73.98027,89,1,1,64
40.73434,-73.99963,230,2,0,209
40.75961,-73.91117,80,1,1,4
40.70941,-74.01774,450,1,0,6
40.80356,-73.95666,60,1,1,94
40.7137,-73.94813,80,2,1,214
40.68869,-73.9231,47,1,1,13
40.76538,-73.98293,150,2,1,127
40.73276,-73.87252,188,2,0,68
40.72566,-73.94823,50,3,1,91
40.66724,-73.99023,109,2,1,182
40.75283,-73.92915,73,2,1,117
40.67599,-73.97664,145,5,0,151
40.68701,-73.99054,80,2,1,43
40.74148,-73.98304,100,3,0,112
40.59362,-73.95659,110,2,0,175
40.73116,-74.00212,149,1,1,209
40.80755,-73.95104,100,2,0,94
40.77362,-73.94886,130,1,0,201
40.70793,-73.93902,55,5,1,214
40.87414,-73.88342,51,1,1,147
40.7865,-73.94288,80,3,1,61
40.6723,-73.99214,40,7,1,85
40.74125,-73.98125,294,3,0,112
40.61041,-74.11593,135,3,0,193
40.73992,-73.99888,199,2,0,34
40.69459,-73.96408,43,1,1,41
40.64785,-73.97595,150,2,0,216
40.77942,-73.94772,160,1,0,201
40.83926,-73.91173,140,1,1,38
40.71685,-73.94246,100,2,1,214
40.63646,-74.02396,65,3,1,7
40.86471,-73.92474,100,1,1,103
40.79468,-73.94194,200,2,0,61
40.72824,-73.99517,275,4,0,92
40.85531,-73.9283,75,2,1,206
40.86842,-73.91747,50,7,1,103
40.66935,-73.94708,60,3,1,51
40.60939,-73.95475,70,3,1,175
40.77009,-73.9427,250,2,0,169
40.68731,-73.96446,125,6,0,41
40.6897,-73.93078,50,4,1,13
40.83625,-73.93915,140,2,0,206
40.82453,-73.92563,60,1,1,47
40.77192,-73.95369,95,1,1,201
40.77885,-73.95756,250,5,0,201
40.73193,-73.99931,299,2,0,92
40.71042,-73.95071,49,2,1,214
40.74786,-73.94628,1250,1,2,117
40.73127,-73.99939,220,1,0,92
40.76164,-73.99218,417,3,0,95
40.79912,-73.95204,90,2,1,94
40.63146,-73.96227,95,3,0,74
40.74475,-74.00108,134,7,0,34
40.75953,-73.91182,135,5,0,4
40.67588,-73.92405,85,1,1,51
40.66594,-73.98814,110,2,0,182
40.72645,-73.98035,89,1,1,64
40.7124,-73.96259,164,1,0,214
40.77485,-73.97827,150,4,0,202
40.66388,-73.98587,120,1,0,182
40.7618,-73.96546,375,2,0,201
40.69195,-73.92068,125,7,0,28
40.71565,-73.95837,223,2,0,214
40.65596,-73.97951,55,1,0,216
40.71884,-73.98354,160,4,1,119
40.73955,-73.98568,275,2,0,75
40.71972,-73.99986,135,2,1,178
40.68863,-73.91887,40,2,1,28
40.66393,-73.98728,300,7,0,182
40.73046,-73.95211,160,1,0,91
40.81465,-73.94265,150,1,1,94
40.70117,-73.92545,50,2,1,28
40.66676,-73.92957,49,3,1,51
40.78175,-73.94797,111,1,1,201
40.70328,-73.92006,50,2,1,28
40.65131,-73.96307,70,1,1,74
40.74016,-73.99902,199,2,0,34
40.68374,-73.95012,41,1,1,13
40.76446,-73.99175,80,3,1,95
40.69144,-73.956,85,1,1,13
40.68367,-73.95982,75,2,1,41
40.66907,-73.99221,195,2,0,85
40.66175,-73.98731,90,3,0,182
40.72184,-73.9868,100,3,1,119
40.69406,-73.98102,144,3,0,80
40.8097,-73.94256,125,5,0,94
40.68512,-73.93607,225,3,0,13
40.64103,-73.99228,59,8,1,20
40.71206,-73.98824,99,5,1,119
40.67649,-73.96499,80,2,1,158
40.79957,-73.96989,72,3,1,202
40.64345,-73.98258,35,1,1,108
40.80114,-73.96378,95,2,1,202
40.66514,-73.99017,100,1,0,182
40.75284,-73.9717,314,2,1,127
40.79982,-73.96192,150,2,0,202
40.69366,-73.93794,140,1,1,13
40.70328,-73.92474,100,5,0,28
40.74564,-73.98181,115,3,0,127
40.74142,-74.0025,150,2,0,34
40.79828,-73.97166,95,1,0,202
40.74536,-73.97222,189,2,0,137
40.80699,-73.95937,130,4,0,130
40.71926,-73.94206,199,2,0,214
40.83815,-73.94385,40,3,1,206
40.72629,-73.99237,75,2,1,144
40.5895,-74.09663,20,4,2,180
40.71857,-73.98867,75,1,1,119
40.77252,-73.9556,140,2,0,201
40.59372,-74.06766,60,1,0,2
40.70743,-73.96625,224,1,0,214
40.72792,-73.99877,110,5,0,92
40.75979,-73.96463,100,1,1,127
40.7951,-73.96675,165,2,0,202
40.68958,-73.99141,118,2,0,19
40.73661,-73.90021,31,2,1,123
40.7652,-73.99197,67,7,1,95
40.80991,-73.94597,149,3,1,94
40.70856,-73.96632,90,2,1,214
40.72202,-73.98922,145,2,0,119
40.72615,-73.98905,140,2,1,64
40.71394,-73.94995,84,1,1,214
40.68004,-73.93928,170,3,0,13
40.72144,-73.98655,69,1,1,119
40.68463,-73.92996,89,1,1,13
40.71612,-74.01054,500,2,0,197
40.71819,-74.00833,500,4,0,197
40.75788,-73.99198,269,4,0,95
40.77045,-73.94959,145,2,0,201
40.74196,-73.92136,100,3,0,189
40.81507,-73.94419,65,3,1,94
40.68868,-73.97671,107,1,0,80
40.70762,-73.94221,47,3,1,214
40.84562,-73.94031,54,3,1,206
40.85811,-73.92921,90,5,0,206
40.76636,-73.98634,99,3,1,95
40.65696,-73.97942,130,7,0,216
40.81437,-73.93833,120,7,0,94
40.67308,-73.95522,110,1,0,51
40.72492,-73.98982,160,3,1,64
40.80268,-73.94051,100,10,0,61
40.69404,-73.96233,130,3,0,41
40.72699,-73.99933,250,3,0,92
40.66955,-73.98174,480,3,0,151
40.80485,-73.96345,150,3,0,130
40.72296,-73.99259,90,1,1,119
40.81858,-73.9559,150,4,0,94
40.74743,-73.99136,440,2,0,34
40.68599,-73.92967,45,2,1,13
40.66411,-73.92905,160,1,0,60
40.62483,-73.97437,200,3,1,128
40.72138,-74.00767,2500,4,0,197
40.58567,-73.94501,50,1,1,175
40.72132,-73.99586,176,2,0,145
40.85991,-73.93193,122,3,0,103
40.69138,-73.93217,350,1,0,13
40.81463,-73.95106,75,3,1,94
40.77064,-73.96197,345,7,0,201
40.78451,-73.97882,300,7,0,202
40.76739,-73.98504,150,2,0,95
40.77722,-73.94991,165,4,0,201
40.64303,-74.014,49,1,1,190
40.69546,-73.93503,80,2,1,13
40.71817,-73.96401,300,5,0,214
40.79368,-73.93492,95,1,1,61
40.74573,-73.98323,90,3,1,127
40.76384,-73.98822,379,2,0,95
40.80567,-73.95677,140,2,0,94
40.72663,-73.97852,65,1,1,64
40.77181,-73.95097,199,5,0,201
40.64277,-73.9744,95,2,0,108
40.717,-73.96183,145,1,0,214
40.83163,-73.93077,80,1,1,96
40.68557,-73.97199,250,6,0,80
40.76078,-73.87661,50,1,1,59
40.67315,-73.9288,79,3,1,51
40.76332,-73.9863,275,2,0,95
40.77169,-73.95583,500,7,0,201
40.798,-73.96317,74,2,0,202
40.67731,-73.96683,280,5,0,158
40.8003,-73.93829,74,7,1,61
40.7124,-73.99054,80,2,1,119
40.68417,-73.91792,175,2,0,13
40.71598,-73.9451,75,2,1,214
40.67963,-73.90816,55,1,1,13
40.69022,-73.94298,60,4,0,13
40.75273,-73.87144,104,2,0,104
40.68409,-73.96264,75,1,1,41
40.69319,-73.95473,60,6,1,13
40.71632,-73.94295,595,2,0,214
40.76062,-73.99297,85,3,0,95
40.69945,-73.93667,70,10,1,28
40.82484,-73.95271,115,4,0,94
40.79335,-73.94583,150,1,0,61
40.65114,-73.96246,60,2,1,74
40.73049,-74.00111,119,2,1,92
40.67853,-73.91142,54,2,1,13
40.81475,-73.94867,115,10,0,94
40.7872,-73.97639,80,2,1,202
40.71847,-73.98246,180,3,0,119
40.76384,-73.92023,100,1,1,4
40.72235,-73.94533,120,3,0,91
40.8679,-73.90023,42,2,1,111
40.69821,-73.8974,60,3,0,166
40.70787,-73.95501,160,1,0,214
40.85269,-73.93616,80,1,1,206
40.72685,-73.98638,280,2,0,64
40.70877,-73.94171,89,6,1,214
40.70173,-73.91504,89,3,0,28
40.75474,-73.99836,177,2,0,95
40.82209,-73.90086,80,1,1,118
40.69639,-73.9343,120,4,0,13
40.74892,-73.88883,200,2,0,104
40.78807,-73.944,75,2,1,61
40.76911,-73.99248,145,1,0,95
40.76333,-73.98905,100,2,1,95
40.65336,-73.95305,45,2,1,74
40.70796,-73.92412,78,2,1,214
40.70254,-73.93095,50,5,1,28
40.80304,-73.95148,65,2,1,94
40.72248,-73.99481,165,7,1,145
40.72135,-73.98668,180,2,0,119
40.73393,-73.99306,200,3,1,92
40.69309,-73.95921,100,3,1,13
40.71286,-73.96244,69,2,1,214
40.70012,-73.95082,130,3,0,214
40.60858,-73.9516,129,2,0,175
40.76256,-73.9904,390,3,0,95
40.69031,-73.95855,59,3,1,13
40.73802,-73.91902,180,3,0,189
40.6683,-73.94977,110,1,0,51
40.70044,-73.93472,150,3,0,28
40.69065,-73.95929,300,6,0,13
40.68757,-73.93032,70,2,0,13
40.70223,-73.98971,145,2,0,53
40.80793,-73.95799,55,6,1,130
40.71428,-73.95172,60,1,1,214
40.82928,-73.94054,135,3,0,94
40.79752,-73.96298,750,3,0,202
40.80012,-73.96441,50,1,1,202
40.8545,-73.93169,50,1,2,206
40.77783,-73.90662,80,1,1,54
40.67687,-73.97848,80,1,1,151
40.68746,-73.95811,245,5,0,13
40.72863,-74.00125,43,5,1,92
40.72131,-73.98902,129,2,0,119
40.70718,-73.94672,60,1,1,214
40.76149,-73.99159,350,6,0,95
40.82325,-73.9478,100,1,0,94
40.66186,-73.99505,120,1,0,190
40.6878,-73.97167,90,4,0,80
40.67037,-73.97637,105,5,1,151
40.7636,-73.96201,150,7,0,201
40.68374,-73.9447,68,2,1,13
40.77198,-73.92206,120,3,0,4
40.73369,-73.95854,139,1,0,91
40.71166,-73.9972,80,1,1,198
40.85336,-73.88549,65,3,1,16
40.72446,-73.95235,120,2,1,91
40.80462,-73.95622,180,2,0,94
40.66896,-73.95347,220,4,0,51
40.70604,-73.93802,190,2,0,214
40.67604,-73.96875,440,4,0,158
40.80293,-73.95586,120,1,0,94
40.71745,-73.9569,60,3,1,214
40.76422,-73.96612,88,1,1,201
40.75943,-73.98756,200,2,0,191
40.71131,-73.87376,100,1,0,125
40.63425,-73.94862,45,2,2,60
40.71848,-73.98439,89,1,1,119
40.6922,-73.9415,85,3,1,13
40.79643,-73.97188,110,7,1,202
40.71776,-73.94538,200,3,0,214
40.68575,-73.92046,260,2,0,13
40.6437,-74.07944,150,1,0,186
40.74033,-74.00024,149,6,0,34
40.72578,-73.98236,140,5,0,64
40.74509,-73.89649,80,2,1,220
40.81716,-73.94279,165,3,0,94
40.76646,-73.99345,65,1,2,95
40.68539,-73.9092,50,3,1,28
40.76581,-73.98235,200,2,1,127
40.7635,-73.9878,145,4,0,95
40.71283,-73.9593,330,5,0,214
40.72826,-73.98871,325,3,0,64
40.68847,-73.913,70,1,1,28
40.82609,-73.94948,49,1,1,94
40.75993,-73.99074,225,2,0,95
40.69175,-73.90932,250,2,0,28
40.74703,-73.97484,239,5,0,137
40.68645,-73.97538,130,3,1,80
40.77713,-73.95277,75,1,1,201
40.72734,-73.98338,85,3,1,64
40.67786,-73.97412,135,4,1,151
40.69066,-73.95922,300,2,0,13
40.77375,-73.91646,90,3,1,54
40.63136,-73.90921,125,1,0,30
40.69974,-73.9338,185,2,0,28
40.76594,-73.9851,200,1,0,95
40.71984,-73.95386,200,4,0,91
40.72454,-73.97931,495,3,0,64
40.80066,-73.96813,500,1,1,202
40.81806,-73.95374,150,1,0,94
40.65937,-73.95906,229,2,0,159
40.68406,-73.99156,219,2,0,31
40.76053,-73.92977,78,2,1,117
40.76338,-73.99552,200,3,0,95
40.75127,-73.99637,226,5,0,34
40.72765,-73.98199,199,2,0,64
40.73738,-74.00012,135,4,0,209
40.73937,-73.91566,46,1,1,189
40.70428,-73.92439,70,1,1,28
40.71133,-73.96924,308,2,0,214
40.71019,-73.95684,125,5,0,214
40.79376,-73.96734,185,2,0,202
40.76723,-73.92317,80,3,1,4
40.67102,-73.96172,130,4,0,51
