latitude,longitude,price,minimum_nights,room_type,neighbourhood
40.80023,-73.96678,85,1,1,202
40.76488,-73.91813,166,1,1,4
40.7555,-73.96575,225,1,0,127
40.72054,-73.98471,208,3,0,119
40.71725,-73.9438,99,5,1,214
40.72363,-73.99832,350,4,0,178
40.70521,-74.00678,100,1,1,73
40.74945,-73.99742,175,7,0,34
40.70741,-73.94285,77,6,1,214
40.75082,-73.89447,99,2,0,104
40.76999,-73.94928,95,1,0,201
40.68708,-73.94657,44,1,0,13
40.7579,-73.96243,170,1,0,127
40.76199,-73.98758,200,3,1,95
40.74981,-73.9786,198,5,0,137
40.66847,-73.94875,125,5,0,51
40.7133,-73.95037,60,1,1,214
40.68351,-73.88448,89,2,0,52
40.71657,-73.96264,165,2,0,214
40.67499,-73.92427,120,5,0,51
40.7083,-73.94846,90,1,1,214
40.6455,-73.9444,56,1,0,60
40.79519,-73.94115,350,3,0,61
40.67512,-73.94192,82,2,1,51
40.69057,-73.90671,50,2,1,28
40.70563,-74.00878,275,3,0,73
40.57774,-74.01022,97,1,1,174
40.65598,-73.95831,190,7,0,159
40.73608,-73.9857,99,4,0,86
40.81142,-73.95978,70,4,1,130
40.70337,-73.94081,130,1,0,214
40.70918,-73.94881,60,7,1,214
40.64105,-73.9595,195,5,0,74
40.68252,-73.93863,229,4,0,13
40.74645,-73.9853,239,4,0,127
40.68234,-73.98168,100,1,1,85
40.75703,-73.87667,45,7,1,59
40.76273,-73.90579,96,1,0,4
40.74433,-73.97769,125,2,1,112
40.82343,-73.94507,61,1,1,94
40.71621,-73.93941,50,7,1,214
40.77161,-73.92063,144,2,0,4
40.71518,-73.94571,95,3,0,214
40.68035,-73.91035,167,1,0,13
40.83001,-73.94925,69,3,1,94
40.7388,-73.92501,65,3,1,189
40.70543,-73.91935,50,6,1,28
40.71638,-73.95684,325,2,0,214
40.75598,-73.8837,60,2,1,59
40.80118,-73.94513,85,3,1,61
40.6934,-73.92372,110,3,1,28
40.80581,-73.95,69,6,1,94
40.84884,-73.93199,82,7,0,206
40.75783,-73.96383,145,2,0,127
40.76315,-73.98711,150,1,1,95
40.73523,-73.98668,160,2,1,86
40.79787,-73.93568,90,2,1,61
40.74627,-73.94666,95,2,1,117
40.68504,-73.9696,150,7,0,80
40.74966,-73.98781,140,4,0,127
40.77471,-73.98955,140,1,1,202
40.73464,-73.95413,70,4,1,91
40.68437,-73.93132,79,1,0,13
40.77864,-73.91445,47,1,1,54
40.81169,-73.94301,75,1,1,94
40.67518,-73.98119,70,1,1,151
