host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365
2845,127,40.75362,-73.98377,0,225,1,355
4632,94,40.80902,-73.9419,1,150,3,365
4869,41,40.68514,-73.95976,0,89,1,194
7192,61,40.79851,-73.94399,0,80,10,0
7322,137,40.74767,-73.975,0,200,3,129
8967,95,40.76489,-73.98493,1,79,2,220
7490,202,40.80178,-73.96723,1,79,2,0
7702,202,40.80316,-73.96545,0,135,5,6
7989,95,40.76076,-73.98867,1,85,2,39
9744,182,40.66829,-73.98779,1,89,4,314
11528,202,40.79826,-73.96113,1,85,2,333
15991,214,40.70837,-73.95352,0,140,2,46
17571,80,40.69169,-73.97185,0,215,2,321
18946,34,40.74192,-73.99501,1,140,1,12
20950,51,40.67592,-73.94694,0,99,3,21
17985,61,40.79685,-73.94872,0,190,7,249
21207,214,40.71842,-73.95718,0,299,3,0
25183,13,40.68371,-73.94028,0,120,2,233
25326,216,40.65599,-73.97519,1,60,1,85
26394,103,40.86754,-73.92639,1,80,4,0
30193,95,40.76715,-73.98533,0,150,10,75
31374,103,40.86482,-73.92106,1,44,3,311
32294,94,40.82245,-73.95104,1,50,3,355
32045,94,40.81305,-73.95466,1,52,2,255
32169,91,40.72219,-73.93762,1,55,4,284
32294,94,40.8213,-73.95318,1,50,3,359
35935,13,40.6831,-73.95473,1,70,1,269
9744,182,40.66869,-73.9878,1,89,4,340
44145,28,40.70186,-73.92745,0,85,2,22
45445,74,40.63702,-73.96327,1,150,1,365
46978,64,40.7229,-73.98199,1,68,2,96
47610,182,40.66278,-73.97966,0,120,3,345
47618,80,40.69673,-73.97584,1,120,7,311
16800,202,40.79009,-73.97927,1,135,4,273
47727,94,40.81175,-73.94478,0,150,7,309
50124,117,40.74771,-73.9474,1,130,3,215
50148,13,40.68111,-73.95591,0,110,7,265
50846,13,40.68554,-73.9409,0,115,3,0
52335,80,40.69142,-73.97376,1,80,3,192
54275,13,40.68043,-73.93934,1,80,1,251
56094,202,40.78635,-73.97008,0,151,2,302
56104,214,40.7042,-73.9356,0,228,3,140
56246,91,40.73506,-73.95392,0,144,2,234
56284,112,40.73961,-73.98074,0,200,7,257
59023,119,40.72004,-73.99104,1,110,5,301
59734,95,40.75531,-73.99293,1,69,2,294
32169,91,40.72401,-73.93788,1,49,4,320
60252,214,40.71185,-73.96204,1,80,2,263
61491,201,40.77065,-73.95269,0,250,2,231
63613,41,40.69,-73.96788,1,55,7,292
64056,151,40.67343,-73.98338,0,225,3,0
64442,64,40.72649,-73.97904,1,80,1,72
64522,214,40.70933,-73.96792,0,275,1,362
4396,64,40.72298,-73.98474,1,99,1,336
65837,61,40.80164,-73.93922,0,225,4,215
66035,64,40.72162,-73.98008,0,230,9,116
66243,95,40.76342,-73.98865,1,51,7,88
68428,206,40.83139,-73.94095,1,65,2,336
68599,41,40.68346,-73.96374,1,105,2,304
69829,64,40.72828,-73.98801,0,190,5,224
69942,201,40.76865,-73.95058,1,200,1,322
71512,80,40.6932,-73.97267,1,95,3,132
71876,34,40.74138,-74.00197,1,150,3,295
73128,119,40.71851,-73.98892,0,285,5,328
73469,74,40.65401,-73.96323,0,130,6,38
74303,25,40.69723,-73.99268,0,800,1,7
74857,214,40.71833,-73.95748,0,105,3,272
62407,64,40.72334,-73.9844,1,60,3,26
76627,64,40.72912,-73.98057,1,50,1,0
961342,28,40.70032,-73.9383,1,65,4,317
78460,158,40.68233,-73.97261,0,131,4,207
79070,158,40.68035,-73.97162,0,250,7,158
79402,214,40.70984,-73.95775,0,100,5,0
44145,28,40.70093,-73.92609,0,105,3,9
42032,202,40.79764,-73.96177,0,140,3,198
82685,94,40.82803,-73.94731,1,89,1,365
87773,13,40.68413,-73.92357,0,125,7,311
32294,94,40.82279,-73.95139,1,60,3,219
11481,31,40.67967,-74.00154,0,175,2,342
63318,206,40.83927,-73.94281,1,65,2,312
93790,209,40.73096,-74.00319,0,500,4,243
97219,214,40.71332,-73.94177,1,101,3,152
107628,94,40.8092,-73.94421,1,100,2,346
59734,95,40.75527,-73.99291,1,59,2,279
112793,64,40.7288,-73.98192,0,140,7,164
115157,112,40.74294,-73.98009,0,199,5,260
115307,214,40.71942,-73.95748,0,325,3,107
115560,202,40.77823,-73.97637,0,235,6,199
118971,182,40.66831,-73.98604,1,99,2,20
119510,94,40.82754,-73.94919,0,170,2,318
119588,182,40.66499,-73.97925,0,400,2,216
119900,202,40.77842,-73.97556,0,170,7,224
120223,64,40.72245,-73.98527,0,100,4,0
65091,159,40.65593,-73.96053,1,75,2,324
6197784,214,40.71923,-73.96468,1,90,1,245
124352,201,40.778,-73.94822,0,150,5,189
35935,13,40.68332,-73.9547,1,70,3,310
126607,94,40.81618,-73.94894,0,120,3,213
127608,41,40.68414,-73.96351,1,89,3,278
125857,64,40.72392,-73.99143,0,185,5,209
129352,91,40.73494,-73.9503,1,50,3,0
120335,119,40.71341,-73.98856,0,105,3,16
117287,95,40.76754,-73.98399,1,130,2,234
137292,76,40.63188,-73.93248,1,77,2,178
137814,41,40.6873,-73.9634,1,76,2,275
137974,13,40.68296,-73.93662,0,125,3,163
116599,41,40.6863,-73.96765,1,135,4,365
139612,214,40.71561,-73.94835,0,199,3,280
139874,43,40.6857,-73.99183,0,140,2,0
137974,13,40.68281,-73.93524,0,115,3,170
142833,214,40.71596,-73.93938,0,160,3,188
143027,214,40.71492,-73.95935,0,195,4,214
143048,64,40.72354,-73.98295,0,195,3,248
120291,209,40.73474,-74.00101,1,156,4,307
142684,214,40.71536,-73.96057,1,125,3,1
157798,61,40.79295,-73.93997,1,69,2,10
159370,214,40.71363,-73.96398,0,125,6,189
92788,201,40.77711,-73.9527,0,219,4,290
165789,19,40.68559,-73.98094,0,475,3,230
168417,201,40.77456,-73.95323,0,99,1,164
168525,214,40.71088,-73.95055,1,69,4,53
170510,13,40.68306,-73.94659,0,135,2,3
171851,53,40.70207,-73.98571,1,250,3,189
174025,201,40.76123,-73.9642,0,250,3,365
180083,85,40.66858,-73.99083,0,250,2,0
181167,94,40.82704,-73.94907,0,80,3,0
137814,41,40.68843,-73.96408,1,70,2,336
11481,31,40.6783,-74.00135,0,165,2,342
185978,186,40.64524,-74.08088,1,70,2,312
177536,28,40.70641,-73.91765,1,50,2,37
190409,96,40.83232,-73.93184,1,40,1,353
193360,214,40.71045,-73.9677,0,150,2,177
193722,73,40.70666,-74.01374,0,196,3,0
181376,80,40.69098,-73.97113,1,110,2,321
193637,209,40.73756,-74.00405,0,170,3,246
126607,94,40.81526,-73.94791,0,165,3,231
202249,94,40.82374,-73.9373,0,100,2,0
67778,80,40.68863,-73.97691,1,65,2,0
867225,130,40.80549,-73.95924,1,99,4,233
204724,214,40.71627,-73.9587,0,200,4,1
8198,151,40.67994,-73.97863,0,150,5,18
210746,158,40.67868,-73.97307,1,120,3,250
212722,201,40.76834,-73.95334,1,75,3,326
214287,34,40.74031,-73.99999,0,125,3,0
218404,95,40.76307,-73.99665,0,275,1,299
221873,119,40.71882,-73.98852,0,299,2,207
9744,182,40.6693,-73.98804,0,135,5,162
236655,119,40.72319,-73.99201,1,83,1,7
237329,34,40.74859,-73.99671,1,123,1,328
240360,95,40.76244,-73.99271,0,195,5,0
247432,13,40.69546,-73.93503,1,80,2,0
10889,214,40.7195,-73.95976,0,249,2,164
255583,95,40.76548,-73.98474,2,105,6,363
210746,158,40.6787,-73.97262,1,100,2,250
190409,96,40.83075,-73.93058,1,45,1,323
258164,61,40.79958,-73.94275,1,100,5,192
260709,214,40.71625,-73.93845,0,140,2,125
262138,13,40.6829,-73.93549,1,71,2,91
88209,144,40.72773,-73.99134,1,130,2,75
263414,209,40.72861,-74.0049,0,199,5,286
168525,214,40.70979,-73.95162,1,69,4,60
